event_date,weather_condition,location,country,latitude,longitude,make,model,purpose_of_flight,broad_phase_of_flight,amateur_built,registration_number,engine_type1,injury_severity,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,people_on_board,pilot_type,no_of_engines1
 10/06/2017 ,vmc,"Las Vegas, NV", United States , 36.209444 , -115.192777 ,robinson,r22,instructional,unknown,no, N878MC ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 10/01/2017 ,vmc,"Midland, MI", United States , 43.623889 , -84.470556 ,brantly,b2,personal,maneuvering,no, N2284U ,reciprocating,fatal(1),1,0,1,0,2,private,1
 09/28/2017 ,vmc,"Cape Town, South Africa", South Africa , -34.113333 , 18.868611 ,robinson,r44,personal,cruise,no,,reciprocating,fatal(1),1,0,0,0,1,private,1
 09/27/2017 ,vmc,"Fullerton, CA", United States , 33.871945 , -117.979723 ,eurocopter,as350,instructional,maneuvering,no, N515ET ,turbine,non-fatal,0,0,2,0,2,instructional,1
 09/26/2017 ,vmc,"Norrbotten, Sweden, Sweden", Sweden , 65.639722 , 21.040277 ,md_helicopters,369,unknown,takeoff,no,,turbine,fatal(1),1,1,0,0,2,unknown,1
 09/25/2017 ,vmc,"Odessa, FL", United States , 28.120834 , -82.594166 ,amateur,amateur,personal,approach,yes, N926KB ,reciprocating,non-fatal,0,0,1,0,1,private,1
 09/24/2017 ,vmc,"Santa Barbara, CA", United States , 34.426111 , -119.841389 ,robinson,r22,instructional,landing,no, N177SR ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 09/23/2017 ,vmc,"Clearwater, FL", United States , 27.977223 , -82.759167 ,robinson,r22,personal,takeoff,no, N404TB ,reciprocating,non-fatal,0,0,0,3,3,private,1
 09/21/2017 ,vmc,"Fayetteville, NC", United States , 34.991111 , -78.881945 ,amateur,amateur,personal,unknown,yes, N186KW ,reciprocating,non-fatal,0,0,0,1,1,private,1
 09/20/2017 ,vmc,"Long Beach, CA", United States , 33.819723 , -118.151389 ,robinson,r22,instructional,unknown,no, N7514S ,reciprocating,non-fatal,0,1,0,0,1,instructional,1
 09/18/2017 ,vmc,"Llano Bonito de Pococí, Costa Rica", Costa Rica , 10.421667 , -83.604167 ,bell,47,aerial application,maneuvering,no,,turbine,fatal(1),1,0,0,0,1,professional,1
 09/17/2017 ,vmc,"Salinas, CA", United States , 36.666945 , -121.704444 ,bell,47,aerial application,maneuvering,no, N3285T ,reciprocating,non-fatal,0,0,1,0,1,professional,1
 09/16/2017 ,vmc,"Plymouth, IN", United States , 41.345833 , -86.291944 ,amateur,amateur,personal,approach,yes, N123XZ ,reciprocating,non-fatal,0,0,0,2,2,private,1
 09/16/2017 ,vmc,"Ancho, NM", United States ,33.937848,-105.7397082,bell,206,business,cruise,no, N213TV ,turbine,fatal(1),1,0,0,0,1,professional,1
 09/11/2017 ,vmc,"Griffith, IN", United States , 41.519723 , -87.399444 ,hiller,uh12,instructional,maneuvering,no, N2686 ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 09/08/2017 ,vmc,"Medford, NJ", United States , 39.934166 , -74.807222 ,schweizer,269,personal,unknown,no, N204HF ,reciprocating,fatal(2),2,0,0,0,2,private,1
 09/08/2017 ,vmc,"Hertford, NC", United States , 36.290277 , -76.487500 ,eurocopter,bk117,unknown,cruise,no, N146DU ,turbine,fatal(4),4,0,0,0,4,unknown,2
 09/02/2017 ,vmc,"Burnet, TX", United States , 30.791666 , -98.232778 ,hughes,369,business,maneuvering,no, N50MP ,turbine,non-fatal,0,1,1,1,3,professional,1
 09/02/2017 ,vmc,"Tujunga, CA", United States , 34.246666 , -118.299722 ,agusta,aw139,public aircraft - local,maneuvering,no, N304FD ,turbine,non-fatal,0,0,0,2,2,professional,1
 09/01/2017 ,vmc,"Lawrenceville, GA", United States , 33.978056 , -83.962500 ,md_helicopters,369,public aircraft - local,landing,no, N5189K ,turbine,non-fatal,0,2,0,0,2,professional,1
 08/29/2017 ,vmc,"Sacramento, CA", United States , 38.512500 , -121.496389 ,robinson,r22,instructional,maneuvering,no, N622MP ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 08/28/2017 ,unknown,"Herzelia, Israel", Israel ,32.1639806,34.8175864,sikorsky,300,unknown,landing,no, N4X-BIM ,reciprocating,non-fatal,0,0,2,0,2,unknown,1
 08/25/2017 ,vmc,"El Dorado Hills, CA", United States , 38.723889 , -121.070278 ,robinson,r44,personal,maneuvering,no, N61NM ,reciprocating,non-fatal,0,0,2,0,2,private,1
 08/24/2017 ,vmc,"Bremerton, WA", United States , 47.490833 , -122.764167 ,robinson,r22,instructional,takeoff,no, N7198J ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 08/21/2017 ,unknown,"Maly Utrish, Russia", Russia ,44.7601083,37.3849740799056,robinson,r66,unknown,cruise,no,,turbine,fatal(1),1,0,0,0,1,unknown,1
 08/20/2017 ,vmc,"Minden, NV", United States , 38.998333 , -119.757222 ,bell,206,personal,landing,no, N6259C ,turbine,non-fatal,0,0,0,5,5,private,1
 08/20/2017 ,vmc,"St Marys, PA", United States , 41.407778 , -78.561667 ,bell,47,instructional,unknown,no, N9526 ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 08/18/2017 ,unknown,"Darwin Aerodrome, Australia", Australia , -12.411667 , 130.870556 ,robinson,r44,unknown,maneuvering,no,,reciprocating,non-fatal,0,0,0,4,4,unknown,1
 08/14/2017 ,vmc,"Westby, WI", United States , 43.660278 , -90.861111 ,robinson,r44,aerial application,maneuvering,no, N97UP ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 08/12/2017 ,vmc,"Charlottesville, VA", United States , 38.034166 , -78.529445 ,bell,407,public aircraft - state,maneuvering,no, N31VA ,turbine,fatal(2),2,0,0,0,2,professional,1
 08/10/2017 ,vmc,"Algiers, Algeria", Algeria , 36.650278 , 4.264167 ,bell,206,unknown,maneuvering,no,,turbine,fatal(4),4,0,0,0,4,unknown,1
 08/10/2017 ,vmc,"Villa Grove, CO", United States , 38.254444 , -105.947777 ,hughes,369,external load,maneuvering,no, N58424 ,turbine,non-fatal,0,1,0,0,1,professional,1
 08/03/2017 ,vmc,"Solomon, AK", United States , 64.566111 , -164.296389 ,robinson,r44,unknown,maneuvering,no, N4138M ,reciprocating,non-fatal,0,0,0,2,2,unknown,1
 08/03/2017 ,vmc,"Delta Junction, AK", United States , 64.467778 , -144.915000 ,eurocopter,as350,unknown,landing,no, N351SH ,turbine,non-fatal,0,0,0,2,2,unknown,1
 08/02/2017 ,unknown,"Cloncurry, Australia", Australia , -20.608889 , 140.471111 ,robinson,r22,unknown,unknown,no,,reciprocating,fatal(1),1,0,0,0,1,unknown,1
