event_date,weather_condition,location,country,latitude,longitude,make,model,purpose_of_flight,broad_phase_of_flight,amateur_built,registration_number,engine_type1,injury_severity,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,people_on_board,pilot_type,no_of_engines1
 06/08/2015 ,vmc,"Pecan Island, LA", United States , 29.617778 , -92.353333 ,bell,407,unknown,unknown,no, N501PH ,turbine,non-fatal,0,0,0,5,5,unknown,1
 06/06/2015 ,unknown,"Baldwin, United Kingdom", United Kingdom ,52.41454595,-1.8424519714561,bell,206,unknown,unknown,no,,turbine,fatal(1),1,0,0,0,1,unknown,1
 06/01/2015 ,vmc,"Dewey, AZ", United States , 34.310000 , -112.120000 ,bell,206,ferry,unknown,no, N73AW ,turbine,non-fatal,0,0,0,1,1,professional,1
 05/31/2015 ,vmc,"Cove, OR", United States , 45.353056 , -117.633889 ,bell,uh1,external load,maneuvering,no, N462CC ,turbine,non-fatal,0,0,0,1,1,professional,1
 05/29/2015 ,vmc,"Caledonia, MI", United States , 42.822500 , -85.491389 ,bell,206,aerial observation,maneuvering,no, N206ED ,turbine,non-fatal,0,0,0,2,2,professional,1
 05/28/2015 ,unknown,"Mitchell, Australia", Australia , -25.476945 , 148.120278 ,robinson,r22,unknown,maneuvering,no,,reciprocating,fatal(1),1,0,0,0,1,unknown,1
 05/28/2015 ,vmc,"Fort Pierre, SD", United States , 44.493889 , -100.746111 ,bell,47,aerial application,unknown,no, N112SH ,turbine,non-fatal,0,0,0,1,1,professional,1
 05/27/2015 ,vmc,"Wasco, CA", United States , 35.609167 , -119.436389 ,hiller,uh12,aerial application,maneuvering,no, N138HA ,reciprocating,fatal(1),1,0,0,0,1,professional,1
 05/20/2015 ,vmc,"Kearny, NJ", United States , 40.731667 , -74.116667 ,bell,206,positioning,maneuvering,no, N210MH ,turbine,non-fatal,0,0,0,1,1,professional,1
 05/18/2015 ,unknown,"Bocognano, Corse-du-Sud, France, France", France , 42.080834 , 9.057500 ,hughes,369,unknown,unknown,no,,turbine,non-fatal,0,2,0,0,2,unknown,1
 05/13/2015 ,vmc,"Columbia, IL", United States , 38.412778 , -90.223334 ,robinson,r44,aerial application,maneuvering,no, N165RV ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 05/07/2015 ,vmc,"Kettle Falls, WA", United States , 48.875834 , -118.132223 ,bell,uh1,external load,maneuvering,no, N46969 ,turbine,non-fatal,0,0,1,0,1,professional,1
 05/07/2015 ,vmc,"Chesterfield, MO", United States , 38.662222 , -90.651944 ,bell,206,instructional,landing,no, N127AE ,turbine,non-fatal,0,0,0,2,2,instructional,1
 05/06/2015 ,vmc,"Argyle, TX", United States , 33.130834 , 97.207222 ,enstrom,f28,instructional,takeoff,no, N8011Q ,reciprocating,non-fatal,0,2,0,0,2,instructional,1
 05/05/2015 ,vmc,"Morganton, NC", United States , 35.821667 , -81.610556 ,hughes,500,instructional,landing,no, N7089S ,reciprocating,non-fatal,0,0,1,1,2,instructional,1
 05/04/2015 ,vmc,"Hamilton, MT", United States , 46.251667 , -114.125556 ,eurocopter,as350,instructional,unknown,no, N504WD ,turbine,non-fatal,0,0,0,2,2,instructional,1
 04/27/2015 ,vmc,"Austin, TX", United States , 30.242222 , -97.789444 ,eurocopter,bk117,public aircraft - local,maneuvering,no, N392TC ,turbine,fatal(1),1,0,0,2,3,professional,2
 04/26/2015 ,unknown,"Aydin, Turkey", Turkey , 37.837777 , 28.377778 ,bell,430,unknown,unknown,no,,turbine,non-fatal,0,0,2,5,7,unknown,2
 04/15/2015 ,vmc,"Dunlap, IL", United States , 40.922500 , -89.678889 ,robinson,r44,aerial observation,takeoff,no, N754R ,reciprocating,non-fatal,0,0,0,2,2,professional,1
 04/13/2015 ,unknown,"Ziyang City, China, China", China , 30.392500 , 104.970278 ,bell,206,unknown,maneuvering,no,,turbine,fatal(1),1,0,0,0,1,unknown,1
 04/06/2015 ,imc,"Cherokee, AL", United States , 34.842777 , -87.934444 ,hughes,369,positioning,unknown,no, N555JC ,turbine,fatal(1),1,0,0,0,1,professional,1
 04/03/2015 ,vmc,"Fort Davis, TX", United States , 30.520834 , -104.134166 ,robinson,r22,personal,maneuvering,no, N8363D ,reciprocating,non-fatal,0,0,0,2,2,private,1
 03/31/2015 ,vmc,"Diego de Almagro, Chile", Chile , -26.363611 , -69.678056 ,bell,206,unknown,maneuvering,no,,turbine,fatal(4),4,0,0,0,4,unknown,1
 03/30/2015 ,vmc,"Saucier, MS", United States , 30.667778 , -89.094722 ,bell,206,aerial application,maneuvering,no, N50KH ,turbine,fatal(2),2,1,0,0,3,professional,1
 03/29/2015 ,unknown,"Modrava, Czech Republic", Czech Republic , 49.024167 , 13.499166 ,robinson,r44,unknown,takeoff,no,,reciprocating,fatal(1),1,0,0,0,1,unknown,1
 03/28/2015 ,vmc,"Firebaugh, CA", United States , 36.850000 , -120.460000 ,hiller,uh12,aerial application,maneuvering,no, N130HA ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 03/28/2015 ,vmc,"Marquette, MI", United States , 46.548055 , -87.396944 ,amateur,amateur,personal,unknown,yes, N556DG ,reciprocating,non-fatal,0,0,0,1,1,private,1
 03/24/2015 ,vmc,"Taylors Island, MD", United States , 38.502222 , -76.171667 ,bell,206,personal,unknown,no, N43CM ,turbine,non-fatal,0,0,0,2,2,private,1
 03/22/2015 ,vmc,"Orlando, FL", United States , 28.556944 , -81.389166 ,robinson,r44,personal,unknown,no, N30242 ,reciprocating,fatal(3),3,0,0,0,3,private,1
 03/21/2015 ,unknown,"East Kalimantan, Indonesia", Indonesia , 0.000000 , 117.000000 ,sikorsky,s76,unknown,landing,no,,turbine,non-fatal,0,2,5,0,7,unknown,2
 03/20/2015 ,vmc,"Lake Hamilton, AR", United States , 34.453056 , -93.038333 ,robinson,r44,personal,landing,no, N701CT ,reciprocating,non-fatal,0,0,1,0,1,private,1
 03/14/2015 ,vmc,"Indian Lake Estates, FL", United States , 27.816667 , -81.382223 ,amateur,amateur,personal,approach,yes, N220AF ,reciprocating,non-fatal,0,0,1,0,1,private,1
 03/13/2015 ,vmc,"Shelby, MT", United States , 48.448889 , -111.971945 ,enstrom,f28,personal,maneuvering,no, N5688N ,reciprocating,non-fatal,0,0,0,2,2,private,1
 03/13/2015 ,vmc,"Anchorage, AK", United States , 61.228611 , -150.870834 ,eurocopter,as350,unknown,unknown,no, N814EH ,turbine,non-fatal,0,0,0,3,3,unknown,1
 03/12/2015 ,unknown,"Eufaula, OK", United States , 35.366667 , -95.800000 ,eurocopter,as350,unknown,unknown,no, N919EM ,turbine,fatal(1),1,2,0,0,3,unknown,1
 03/10/2015 ,vmc,"Palmer, AK", United States , 61.410000 , -148.546944 ,bell,206,personal,maneuvering,no, N86TA ,turbine,non-fatal,0,0,0,1,1,private,1
 03/06/2015 ,vmc,"St Louis, MO", United States , 38.622223 , -90.233611 ,eurocopter,ec130,positioning,approach,no, N356AM ,turbine,fatal(1),1,0,0,0,1,professional,1
 03/05/2015 ,vmc,"Justin, TX", United States , 33.049444 , -97.292777 ,bell,407,instructional,unknown,no, N41BH ,turbine,non-fatal,0,0,0,2,2,instructional,1
 03/03/2015 ,vmc,"San Bernardino, CA", United States , 34.095277 , -117.235000 ,robinson,r22,personal,landing,no, N4003S ,reciprocating,non-fatal,0,0,1,0,1,private,1
 02/27/2015 ,vmc,"Ivanhoe, CA", United States , 36.459444 , -119.190833 ,bell,47,aerial application,maneuvering,no, N4774S ,reciprocating,non-fatal,0,1,0,0,1,professional,1
 02/26/2015 ,vmc,"Plymouth, IN", United States , 41.365000 , -86.300278 ,amateur,amateur,personal,unknown,yes, N123XZ ,reciprocating,non-fatal,0,0,0,2,2,private,1
 02/20/2015 ,vmc,"Gulf of Mexico, GM", United States , 28.500000 , -91.300000 ,agusta,aw119,unknown,unknown,no, N802SM ,turbine,non-fatal,0,0,0,2,2,unknown,1
 02/19/2015 ,unknown,"Queenstown, New Zealand, New Zealand", New Zealand , -45.202222 , 168.575000 ,robinson,r44,unknown,maneuvering,no,,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 02/19/2015 ,vmc,"Shelton, WA", United States , 47.129445 , -123.231111 ,bell,uh1,external load,maneuvering,no, N166DR ,turbine,non-fatal,0,0,0,1,1,professional,1
 02/15/2015 ,unknown,ihu, Papua New Guinea ,-7.8975601,145.3959961,bell,206,unknown,maneuvering,no,,turbine,non-fatal,0,0,0,1,1,unknown,1
 02/15/2015 ,vmc,"Sevierville, TN", United States , 35.895555 , -83.578611 ,bell,206,aerial observation,takeoff,no, N3176L ,turbine,non-fatal,0,0,0,6,6,professional,1
 02/15/2015 ,vmc,"Asherton, TX", United States , 28.559444 , -99.410000 ,robinson,r22,other work use,maneuvering,no, N7181S ,reciprocating,non-fatal,0,0,1,0,1,professional,1
 02/12/2015 ,unknown,"Bohusovice nad Ohri, Czech Republic", Czech Republic ,50.49316,14.1504836,amateur,amateur,unknown,unknown,yes, N111ZP ,reciprocating,fatal(1),1,0,0,0,1,unknown,1
 02/06/2015 ,unknown,"Oresten, Sweden", Sweden , 57.445277 , 12.648889 ,hughes,269,unknown,maneuvering,no, N90584 ,reciprocating,non-fatal,0,0,0,1,1,unknown,1
 02/01/2015 ,vmc,"Calexico, CA", United States , 32.676389 , -115.418611 ,robinson,r44,aerial application,maneuvering,no, N510KJ ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 02/01/2015 ,vmc,"Carthage, NY", United States , 43.990000 , -75.629445 ,schweizer,269,personal,maneuvering,no, N20059 ,reciprocating,non-fatal,0,0,0,2,2,private,1
 01/31/2015 ,vmc,"Seadrift, TX", United States , 28.521667 , -96.798333 ,amateur,amateur,personal,unknown,yes, N162RB ,reciprocating,non-fatal,0,0,0,2,2,private,1
 01/29/2015 ,vmc,"North Little Rock, AR", United States , 34.834722 , -92.258611 ,bell,47,instructional,unknown,no, N43762 ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 01/28/2015 ,vmc,"West Palm Beach, FL", United States , 26.593055 , -80.085000 ,robinson,r22,instructional,approach,no, N475AT ,reciprocating,non-fatal,0,0,0,4,4,instructional,1
 01/27/2015 ,unknown,"Tena, Ecuador", Ecuador ,-0.9916185,-77.8163379,hal,dhruv,unknown,maneuvering,no,,turbine,fatal(3),3,0,0,0,3,unknown,1
 01/26/2015 ,vmc,"Erie, CO", United States , 40.015556 , -105.049444 ,enstrom,280,instructional,unknown,no, N86235 ,reciprocating,fatal(2),2,0,0,0,2,instructional,1
 01/23/2015 ,unknown,"Waikaia, New Zealand", New Zealand ,-45.7253274,168.8500051,robinson,r44,unknown,cruise,no,,reciprocating,non-fatal,0,0,0,1,1,unknown,1
 01/20/2015 ,unknown,"Tashanta, Russia", Russia , 49.889444 , 89.583334 ,robinson,r66,unknown,maneuvering,no,,turbine,non-fatal,0,0,0,3,3,unknown,1
 01/17/2015 ,unknown,"Santa Catarina Ixtahuacan, Guatemala", Guatemala ,14.7119383,-91.3757723715142,bell,206,unknown,landing,no,,turbine,non-fatal,0,0,4,0,4,unknown,1
 01/16/2015 ,vmc,"The Woodlands, TX", United States , 30.199722 , -95.476389 ,amateur,amateur,personal,cruise,yes, N416JB ,reciprocating,fatal(1),1,0,0,0,1,private,1
 01/13/2015 ,unknown,"Guayaquil, Ecuador", Ecuador , -2.225278 , -80.052222 ,hal,dhruv,unknown,maneuvering,no,,turbine,non-fatal,0,0,2,0,2,unknown,1
 01/10/2015 ,unknown,"Santa Monica, Brazil", Brazil , -23.171945 , -53.094722 ,robinson,r44,personal,unknown,no,,reciprocating,fatal(1),1,1,0,0,2,private,1
 01/10/2015 ,vmc,"Catano, PR", United States , 18.456667 , -66.098333 ,robinson,r22,instructional,approach,no, N348VH ,reciprocating,fatal(1),1,0,0,0,1,instructional,1
 01/02/2015 ,vmc,"Barranquitas, PR", United States , 18.209722 , -66.293889 ,robinson,r44,personal,landing,no, N3183T ,reciprocating,non-fatal,0,0,1,2,3,private,1
 12/31/2014 ,vmc,"Las Vegas, NV", United States , 36.176389 , -115.118889 ,md_helicopters,369,public aircraft - local,unknown,no, N530KK ,turbine,non-fatal,0,2,0,0,2,professional,1
 12/31/2014 ,imc,"Benson, AZ", United States , 31.956111 , -110.409444 ,bell,206,positioning,cruise,no, N57AW ,turbine,fatal(2),2,0,0,0,2,professional,1
 12/29/2014 ,vmc,"Lake Worth, FL", United States , 26.600000 , -80.086666 ,robinson,r22,instructional,approach,no, N771MM ,reciprocating,fatal(1),1,1,0,0,2,instructional,1
 12/29/2014 ,vmc,"Horseshoe Bay, TX", United States , 30.526389 , -98.359167 ,robinson,r44,personal,unknown,no, N174CD ,reciprocating,non-fatal,0,0,0,1,1,private,1
 12/27/2014 ,vmc,"Bertioga, Brazil", Brazil , -23.865833 , -46.161389 ,aerospatiale,as350,unknown,takeoff,no,,turbine,fatal(5),5,0,0,0,5,unknown,1
 12/22/2014 ,vmc,"Henniker, NH", United States , 43.180556 , -71.833334 ,robinson,r66,personal,landing,no, N64HF ,turbine,non-fatal,0,0,0,1,1,private,1
 12/21/2014 ,vmc,"Miami Gardens, FL", United States , 25.960000 , -80.237222 ,bell,430,executive/corporate,maneuvering,no, N430WH ,turbine,non-fatal,0,0,0,7,7,professional,2
 12/16/2014 ,vmc,"Bicknell, UT", United States , 38.281667 , 111.626945 ,eurocopter,as350,other work use,maneuvering,no, N352SL ,turbine,non-fatal,0,0,0,4,4,professional,1
 12/15/2014 ,unknown,"Lake Siutghiol, Romania", Romania , 44.246389 , 28.600000 ,eurocopter,ec135,unknown,cruise,no,,turbine,fatal(4),4,0,0,0,4,unknown,2
 12/08/2014 ,vmc,"Fort Lupton, CO", United States , 40.119445 , 104.680556 ,enstrom,280,instructional,landing,no, N409LH ,reciprocating,non-fatal,0,0,1,0,1,instructional,1
 12/04/2014 ,unknown,"Ponte de Sôr, Portugal", Portugal , 39.249444 , -8.085833 ,schweizer,269,instructional,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,instructional,1
 12/02/2014 ,vmc,"Bountiful, UT", United States , 40.857778 , -111.923889 ,robinson,r44,personal,maneuvering,no, N3234U ,reciprocating,fatal(2),2,0,0,0,2,private,1
 11/26/2014 ,vmc,"Highlandville, MO", United States , 36.931945 , 93.280278 ,md_helicopters,900,unknown,approach,no, N902LC ,turbine,non-fatal,0,0,1,2,3,unknown,1
 11/24/2014 ,vmc,"Leesburg, VA", United States , 39.078056 , -77.557500 ,hiller,oh23,instructional,maneuvering,no, N6057 ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 11/18/2014 ,vmc,"Decatur, AL", United States , 34.714444 , -87.156111 ,md_helicopters,500,external load,maneuvering,no, N8371F ,turbine,non-fatal,0,0,0,2,2,professional,1
 11/15/2014 ,vmc,"Prescott, AZ", United States , 34.538333 , -112.468334 ,robinson,r22,instructional,unknown,no, N32VH ,reciprocating,non-fatal,0,0,2,0,2,instructional,1
 11/13/2014 ,vmc,"Panguitch, UT", United States , 37.845277 , -112.391944 ,aerospatiale,as350,instructional,approach,no, N425U ,turbine,non-fatal,0,0,2,0,2,instructional,1
 11/08/2014 ,vmc,"Angleton, TX", United States , 29.165000 , -95.401111 ,amateur,amateur,personal,unknown,yes, N922RM ,reciprocating,non-fatal,0,0,1,0,1,private,1
 11/01/2014 ,unknown,"Boca Chica, Dominican Republic", Dominican Republic ,18.45659595,-69.6148458630117,bell,206,unknown,unknown,no,,turbine,fatal(1),1,1,0,1,3,unknown,1
 10/29/2014 ,vmc,"Baton Rouge, LA", United States , 30.532778 , -91.150000 ,robinson,r66,instructional,cruise,no, N67GA ,turbine,non-fatal,0,0,0,2,2,instructional,1
 10/27/2014 ,vmc,"Bisbee, AZ", United States , 31.398333 , -109.801667 ,eurocopter,as350,public aircraft - federal,maneuvering,no, N5204X ,turbine,non-fatal,0,1,0,0,1,professional,1
 10/25/2014 ,vmc,"West Palm Beach, FL", United States , 26.646666 , -80.295000 ,bell,206,personal,landing,no, N418SV ,turbine,non-fatal,0,0,0,5,5,private,1
 10/24/2014 ,vmc,"Harper, TX", United States , 30.306667 , -99.247500 ,robinson,r44,business,maneuvering,no, N7192K ,reciprocating,non-fatal,0,0,0,2,2,professional,1
 10/23/2014 ,vmc,"Frederick, MD", United States , 39.410833 , -77.382500 ,robinson,r44,instructional,approach,no, N7518Q ,reciprocating,fatal(3),3,0,1,1,5,instructional,1
 10/23/2014 ,vmc,"San Isidro, TX", United States , 26.595833 , 98.625556 ,bell,uh1,other work use,cruise,no, N72595 ,turbine,non-fatal,0,0,0,3,3,professional,1
 10/17/2014 ,vmc,"Lordsburg, NM", United States , 31.569723 , -108.873889 ,eurocopter,as350,public aircraft - federal,takeoff,no, N852BP ,turbine,non-fatal,0,0,1,0,1,professional,1
 10/16/2014 ,vmc,"Prattville, AL", United States , 32.438611 , -86.512778 ,bell,206,aerial observation,maneuvering,no, N59541 ,turbine,non-fatal,0,0,0,2,2,professional,1
 10/07/2014 ,unknown,"Mount Arthur, New Zealand, New Zealand", New Zealand , -41.205000 , 172.735833 ,robinson,r44,unknown,unknown,no,,reciprocating,fatal(1),1,0,0,0,1,unknown,1
 10/04/2014 ,vmc,"Wichita Falls, TX", United States , 33.540000 , -98.300000 ,bell,206,unknown,go-around,no, N335AE ,turbine,fatal(3),3,1,0,0,4,unknown,1
 10/03/2014 ,vmc,"Atlanta, AR", United States , 33.118334 , -93.011667 ,bell,206,positioning,takeoff,no, N4426M ,turbine,non-fatal,0,1,0,0,1,professional,1
 10/02/2014 ,vmc,"Woodsboro, TX", United States , 28.236666 , -97.319167 ,bell,206,aerial observation,maneuvering,no, N49746 ,turbine,non-fatal,0,3,0,0,3,professional,1
 09/28/2014 ,vmc,"Gallatin, TN", United States , 36.425000 , -86.484166 ,amateur,amateur,personal,maneuvering,yes, N7062U ,reciprocating,fatal(1),1,0,0,0,1,private,1
 09/26/2014 ,vmc,"Albuquerque, NM", United States , 35.230556 , -106.875278 ,robinson,r22,personal,approach,no, N7026J ,reciprocating,non-fatal,0,0,1,1,2,private,1
 09/25/2014 ,vmc,"Nashoba, OK", United States , 34.531945 , -95.163889 ,bell,206,aerial application,takeoff,no, N152CA ,turbine,non-fatal,0,0,0,1,1,professional,1
 09/23/2014 ,unknown,"Bolivar, Venezuela", Venezuela , 7.506944 , -61.321111 ,bell,206,unknown,unknown,no,,turbine,fatal(3),3,0,0,0,3,unknown,1
 09/22/2014 ,vmc,"Grand Forks, ND", United States , 47.952778 , -97.175556 ,schweizer,269,instructional,unknown,no, N1675U ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 09/21/2014 ,vmc,"Mokuleia, HI", United States , 21.579445 , -158.197222 ,robinson,r44,personal,approach,no, N8375E ,reciprocating,non-fatal,0,0,0,4,4,private,1
 09/19/2014 ,vmc,"Cahokia, IL", United States , 38.000000 , 90.000000 ,robinson,r22,personal,unknown,no, N115DD ,reciprocating,non-fatal,0,0,0,1,1,private,1
 09/16/2014 ,unknown,"Amaga, Colombia", Colombia ,6.0358169,-75.7009108125,robinson,r22,instructional,unknown,no,,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 09/16/2014 ,unknown,"Flamborough, United Kingdom", United Kingdom ,54.1154602,-0.1243672,bell,206,unknown,unknown,no,,turbine,fatal(2),2,0,0,0,2,unknown,1
 09/15/2014 ,vmc,"Beaumont, TX", United States , 29.950833 , -94.020556 ,robinson,r44,personal,takeoff,no, N9844N ,reciprocating,non-fatal,0,0,0,2,2,private,1
 09/13/2014 ,vmc,"Kahului, Maui, HI", United States , 20.888333 , -156.433611 ,eurocopter,as350,flight test,maneuvering,no, N197BH ,turbine,non-fatal,0,0,0,2,2,professional,1
 09/12/2014 ,vmc,"Tombstone, AZ", United States , 31.701389 , -110.053611 ,bell,206,unknown,unknown,no, N64AW ,turbine,non-fatal,0,0,0,2,2,unknown,1
 09/11/2014 ,vmc,"Moab, UT", United States , 38.459722 , -109.635277 ,bell,407,external load,landing,no, N142MA ,turbine,non-fatal,0,0,1,0,1,professional,1
 09/06/2014 ,vmc,"Macedonia, IA", United States , 41.182500 , -95.535555 ,robinson,r44,aerial application,maneuvering,no, N699TQ ,reciprocating,fatal(1),1,0,0,0,1,professional,1
 09/05/2014 ,unknown,"Roeselare, Belgium", Belgium ,50.9444948,3.124765,robinson,r44,unknown,takeoff,no, N60JD ,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 09/04/2014 ,vmc,"Lincoln, CA", United States , 38.909167 , -121.351389 ,eurocopter,as350,public aircraft - state,landing,no, N217HP ,turbine,non-fatal,0,0,0,2,2,professional,1
 09/02/2014 ,vmc,"Willows, CA", United States , 39.524167 , -122.249166 ,hughes,369,business,cruise,no, N516PJ ,turbine,non-fatal,0,1,0,0,1,professional,1
 09/02/2014 ,unknown,"La Mojonera, Mexico", Mexico ,29.7088775,-108.4271045,agusta,aw109,unknown,cruise,no,,turbine,fatal(2),2,0,0,0,2,unknown,1
 08/28/2014 ,vmc,"Hemet, CA", United States , 33.734166 , -117.022500 ,eurocopter,as350,public aircraft - local,landing,no, N991SD ,turbine,non-fatal,0,0,2,0,2,professional,1
 08/27/2014 ,vmc,"Gardnerville, NV", United States , 38.319445 , 119.695000 ,robinson,r22,personal,takeoff,no, N4187W ,reciprocating,non-fatal,0,1,1,0,2,private,1
 08/25/2014 ,unknown,"Halls Creek, Australia, Australia", Australia ,-35.1786026,149.0621957,robinson,r22,unknown,unknown,no,,reciprocating,fatal(1),1,0,0,0,1,unknown,1
 08/25/2014 ,vmc,"Cape May Court House, NJ", United States , 39.080556 , -74.826945 ,hiller,uh12,aerial observation,takeoff,no, N4035A ,reciprocating,non-fatal,0,0,1,1,2,professional,1
 08/24/2014 ,vmc,"Pahrump, NV", United States , 36.218056 , -116.175278 ,robinson,r44,personal,unknown,no, N4246Z ,reciprocating,non-fatal,0,0,1,0,1,private,1
 08/24/2014 ,vmc,"Long Beach, CA", United States , 33.817778 , -118.151667 ,robinson,r22,instructional,maneuvering,no, N341SL ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 08/19/2014 ,vmc,"Northport, AL", United States , 33.451111 , -87.387500 ,md_helicopters,369,aerial observation,maneuvering,no, N444RS ,turbine,fatal(2),2,0,0,0,2,professional,1
 08/18/2014 ,vmc,"Saint Peter, MN", United States , 44.152778 , -93.534722 ,hughes,369,aerial application,maneuvering,no, N369GN ,turbine,non-fatal,0,0,0,1,1,professional,1
 08/17/2014 ,vmc,"Hayesville, NC", United States , 35.041111 , 83.817223 ,robinson,r44,personal,landing,no, N752EC ,reciprocating,non-fatal,0,0,0,1,1,private,1
 08/13/2014 ,vmc,"Lancaster, WI", United States , 42.762500 , -90.659722 ,robinson,r44,aerial application,maneuvering,no, N8343P ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 08/12/2014 ,vmc,"MANSFIELD, IL", United States , 40.202500 , -88.511389 ,bell,47,aerial application,maneuvering,no, N7089J ,reciprocating,fatal(1),1,0,0,0,1,professional,1
 08/11/2014 ,vmc,"Idaho Falls, ID", United States , 43.461667 , -112.015000 ,md_helicopters,500,personal,takeoff,no, N18GH ,turbine,non-fatal,0,0,0,3,3,private,1
 08/11/2014 ,vmc,"Darrington, WA", United States , 48.270834 , -121.208889 ,hughes,269,personal,approach,no, N7432F ,reciprocating,non-fatal,0,0,0,1,1,private,1
 08/10/2014 ,vmc,"Jeanerette, LA", United States , 29.912222 , -91.668889 ,bell,47,aerial application,maneuvering,no, N4690 ,reciprocating,fatal(1),1,0,0,0,1,professional,1
 08/07/2014 ,vmc,"Tomah, WI", United States , 43.961944 , 90.580000 ,enstrom,f28,aerial application,maneuvering,no, N213BL ,reciprocating,non-fatal,0,1,0,0,1,professional,1
 08/01/2014 ,vmc,"Tahoma, CA", United States , 39.004722 , -120.255556 ,aerospatiale,as350,unknown,takeoff,no, N3597T ,turbine,non-fatal,0,2,0,2,4,unknown,1
 08/01/2014 ,vmc,"Honolulu, HI", United States , 21.283334 , 157.916667 ,robinson,r44,personal,maneuvering,no, N110JC ,reciprocating,non-fatal,0,0,0,3,3,private,1
 08/01/2014 ,vmc,"Oshkosh, WI", United States , 44.024167 , -88.561111 ,amateur,amateur,personal,maneuvering,yes, CF-HEZ ,reciprocating,non-fatal,0,0,0,1,1,private,1
 07/31/2014 ,vmc,"Allen, NE", United States , 42.415833 , -96.841389 ,robinson,r44,aerial application,maneuvering,no, N7194H ,reciprocating,non-fatal,0,0,1,0,1,professional,1
 07/30/2014 ,vmc,"Spring, TX", United States , 30.061944 , -95.552778 ,bell,206,public aircraft - local,standing,no, N866H ,turbine,non-fatal,0,0,0,1,1,professional,1
 07/29/2014 ,vmc,"West Liberty, OH", United States , 40.301944 , -83.768889 ,hughes,369,external load,maneuvering,no, N89ZC ,turbine,non-fatal,0,1,0,0,1,professional,1
 07/26/2014 ,vmc,"Wadesboro, NC", United States , 34.826389 , -80.241389 ,hiller,uh12,aerial application,maneuvering,no, N107HA ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 07/26/2014 ,vmc,"Bennet, NE", United States , 40.440000 , 96.320000 ,bell,206,aerial application,maneuvering,no, N240SJ ,turbine,non-fatal,0,0,0,1,1,professional,1
 07/25/2014 ,vmc,"Boulder City, NV", United States , 35.947500 , -114.855000 ,eurocopter,ec130,unknown,landing,no, N154GC ,turbine,non-fatal,0,0,0,9,9,unknown,1
 07/25/2014 ,vmc,"Osage, MN", United States , 46.987222 , -95.336389 ,eurocopter,47,aerial application,landing,no, N161SH ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 07/23/2014 ,vmc,"Wenatchee, WA", United States , 47.622778 , -120.423889 ,bell,206,aerial application,landing,no, N949FM ,turbine,fatal(1),1,0,0,0,1,professional,1
 07/23/2014 ,unknown,"Ivashka Township, Russia", Russia ,58.564541,162.302322,robinson,r44,unknown,unknown,no,,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 07/22/2014 ,vmc,"Oso, WA", United States , 48.233334 , -121.916667 ,hughes,369,external load,maneuvering,no, N5225C ,turbine,non-fatal,0,1,0,0,1,professional,1
 07/21/2014 ,vmc,"Titusville, FL", United States , 28.551111 , -80.900833 ,schweizer,269,instructional,landing,no, N1830D ,reciprocating,non-fatal,0,0,2,0,2,instructional,1
 07/19/2014 ,vmc,"Salinas, CA", United States , 36.360000 , -121.310000 ,bell,206,aerial application,takeoff,no, N291SH ,turbine,non-fatal,0,0,0,1,1,professional,1
 07/18/2014 ,vmc,"Merced, CA", United States , 37.295277 , -120.532223 ,bell,47,aerial application,maneuvering,no, N47DT ,reciprocating,non-fatal,0,1,0,0,1,professional,1
 07/17/2014 ,unknown,"Newkirk, NM", United States , 35.113611 , -104.256389 ,agusta,aw109,positioning,unknown,no, N507CF ,turbine,fatal(3),3,0,0,0,3,professional,1
 07/15/2014 ,vmc,"Grand Praire, TX", United States , 32.700000 , -97.048055 ,eurocopter,as350,instructional,unknown,no, N350GP ,turbine,non-fatal,0,0,0,2,2,instructional,1
 07/14/2014 ,vmc,"Kungsangen, Sweden", Sweden , 59.457778 , 17.739722 ,md_helicopters,600,unknown,unknown,no,,turbine,non-fatal,0,0,0,1,1,unknown,1
 07/11/2014 ,vmc,"Kingston, WA", United States , 47.824723 , -122.499722 ,bell,47,personal,landing,no, N88771 ,reciprocating,non-fatal,0,0,2,2,4,private,1
 07/11/2014 ,vmc,"Englewood, CO", United States , 39.000000 , 104.000000 ,robinson,r44,personal,maneuvering,no, N69MP ,reciprocating,non-fatal,0,0,0,4,4,private,1
 07/05/2014 ,unknown,"Novosheshminsk, Tatarstan, Russia", Russia , 55.073334 , 51.245555 ,robinson,r44,unknown,unknown,no,,reciprocating,non-fatal,0,1,0,0,1,unknown,1
